binomial,valid,Order,suborder,Family,length,lengthmeasure,conversion,intercept,slope,logmass,mass,intree,nameintree
Amphisbaena talisiae,yes,Squamata,Amphisbaenia,Amphisbaenidae,105.0,SVL,Amphisbaenidae,-8.647,4.007,-0.55,0.3,no,NA
Cynisca degrysi,yes,Squamata,Amphisbaenia,Amphisbaenidae,107.0,SVL,Amphisbaenidae,-8.647,4.007,-0.52,0.3,no,NA
Amphisbaena tragorrhectes,yes,Squamata,Amphisbaenia,Amphisbaenidae,110.0,SVL,Amphisbaenidae,-8.647,4.007,-0.47,0.3,no,NA
Amphisbaena slevini,yes,Squamata,Amphisbaenia,Amphisbaenidae,120.0,SVL,Amphisbaenidae,-8.647,4.007,-0.34,0.5,no,NA
Amphisbaena heathi,yes,Squamata,Amphisbaenia,Amphisbaenidae,124.0,SVL,Amphisbaenidae,-8.647,4.007,-0.26,0.6,no,NA
Cynisca haugi,yes,Squamata,Amphisbaenia,Amphisbaenidae,124.0,SVL,Amphisbaenidae,-8.647,4.007,-0.26,0.6,no,NA
Cynisca rouxae,yes,Squamata,Amphisbaenia,Amphisbaenidae,124.0,SVL,Amphisbaenidae,-8.647,4.007,-0.26,0.6,no,NA
Amphisbaena maranhensis,yes,Squamata,Amphisbaenia,Amphisbaenidae,125.0,SVL,Amphisbaenidae,-8.647,4.007,-0.24,0.6,no,NA
Amphisbaena carvalhoi,yes,Squamata,Amphisbaenia,Amphisbaenidae,129.0,SVL,Amphisbaenidae,-8.647,4.007,-0.19,0.6,no,NA
Chirindia rondoensis,yes,Squamata,Amphisbaenia,Amphisbaenidae,129.0,SVL,Amphisbaenidae,-8.647,4.007,-0.19,0.6,no,NA
Cynisca manei,yes,Squamata,Amphisbaenia,Amphisbaenidae,129.0,SVL,Amphisbaenidae,-8.647,4.007,-0.19,0.6,no,NA
Amphisbaena hogei,yes,Squamata,Amphisbaenia,Amphisbaenidae,130.0,SVL,Amphisbaenidae,-8.647,4.007,-0.18,0.7,no,NA
Amphisbaena mensae,yes,Squamata,Amphisbaenia,Amphisbaenidae,130.0,SVL,Amphisbaenidae,-8.647,4.007,-0.18,0.7,no,NA
Cynisca bifrontalis,yes,Squamata,Amphisbaenia,Amphisbaenidae,131.0,SVL,Amphisbaenidae,-8.647,4.007,-0.16,0.7,no,NA
Amphisbaena brevis,yes,Squamata,Amphisbaenia,Amphisbaenidae,137.0,SVL,Amphisbaenidae,-8.647,4.007,-0.09,0.8,no,NA
Amphisbaena albocingulata,yes,Squamata,Amphisbaenia,Amphisbaenidae,138.0,SVL,Amphisbaenidae,-8.647,4.007,-0.07,0.8,no,NA
Cynisca senegalensis,yes,Squamata,Amphisbaenia,Amphisbaenidae,138.0,SVL,Amphisbaenidae,-8.647,4.007,-0.07,0.8,no,NA
Amphisbaena slateri,yes,Squamata,Amphisbaenia,Amphisbaenidae,139.0,SVL,Amphisbaenidae,-8.647,4.007,-0.06,0.9,no,NA
Amphisbaena miringoera,yes,Squamata,Amphisbaenia,Amphisbaenidae,142.0,SVL,Amphisbaenidae,-8.647,4.007,-0.02,0.9,no,NA
Cynisca oligopholis,yes,Squamata,Amphisbaenia,Amphisbaenidae,147.0,SVL,Amphisbaenidae,-8.647,4.007,0.04,1.1,no,NA
Amphisbaena crisae,yes,Squamata,Amphisbaenia,Amphisbaenidae,149.0,SVL,Amphisbaenidae,-8.647,4.007,0.06,1.2,no,NA
Agamodon compressus,yes,Squamata,Amphisbaenia,Trogonophiidae,103.0,SVL,Amphisbaenia,-5.858,2.943,0.07,1.2,no,NA
Amphisbaena neglecta,yes,Squamata,Amphisbaenia,Amphisbaenidae,150.0,SVL,Amphisbaenidae,-8.647,4.007,0.07,1.2,no,NA
Amphisbaena hastata,yes,Squamata,Amphisbaenia,Amphisbaenidae,152.0,SVL,Amphisbaenidae,-8.647,4.007,0.10,1.2,yes,Amphisbaena hastata
Amphisbaena pericensis,yes,Squamata,Amphisbaenia,Amphisbaenidae,153.0,SVL,Amphisbaenidae,-8.647,4.007,0.11,1.3,no,NA
Amphisbaena vanzolinii,yes,Squamata,Amphisbaenia,Amphisbaenidae,153.0,SVL,Amphisbaenidae,-8.647,4.007,0.11,1.3,no,NA
Chirindia ewerbecki,yes,Squamata,Amphisbaenia,Amphisbaenidae,153.0,SVL,Amphisbaenidae,-8.647,4.007,0.11,1.3,no,NA
Cynisca leonina,yes,Squamata,Amphisbaenia,Amphisbaenidae,155.0,SVL,Amphisbaenidae,-8.647,4.007,0.13,1.3,no,NA
Amphisbaena leeseri,yes,Squamata,Amphisbaenia,Amphisbaenidae,156.0,SVL,Amphisbaenidae,-8.647,4.007,0.14,1.4,yes,Amphisbaena leeseri
Amphisbaena lumbricalis,yes,Squamata,Amphisbaenia,Amphisbaenidae,156.0,SVL,Amphisbaenidae,-8.647,4.007,0.14,1.4,no,NA
Amphisbaena caiari,yes,Squamata,Amphisbaenia,Amphisbaenidae,157.0,SVL,Amphisbaenidae,-8.647,4.007,0.15,1.4,no,NA
Chirindia langi,yes,Squamata,Amphisbaenia,Amphisbaenidae,158.0,SVL,Amphisbaenidae,-8.647,4.007,0.16,1.5,no,NA
Cynisca liberiensis,yes,Squamata,Amphisbaenia,Amphisbaenidae,158.0,SVL,Amphisbaenidae,-8.647,4.007,0.16,1.5,no,NA
Cynisca gansi,yes,Squamata,Amphisbaenia,Amphisbaenidae,158.5,SVL,Amphisbaenidae,-8.647,4.007,0.17,1.5,no,NA
Chirindia swynnertoni,yes,Squamata,Amphisbaenia,Amphisbaenidae,160.0,SVL,Amphisbaenidae,-8.647,4.007,0.18,1.5,yes,Chirindia swynnertoni
Cynisca kraussi,yes,Squamata,Amphisbaenia,Amphisbaenidae,160.0,SVL,Amphisbaenidae,-8.647,4.007,0.18,1.5,no,NA
Amphisbaena persephone,yes,Squamata,Amphisbaenia,Amphisbaenidae,161.0,SVL,Amphisbaenidae,-8.647,4.007,0.20,1.6,no,NA
Cynisca williamsi,yes,Squamata,Amphisbaenia,Amphisbaenidae,161.0,SVL,Amphisbaenidae,-8.647,4.007,0.20,1.6,no,NA
Amphisbaena silvestrii,yes,Squamata,Amphisbaenia,Amphisbaenidae,162.0,SVL,Amphisbaenidae,-8.647,4.007,0.21,1.6,yes,Amphisbaena silvestrii
Amphisbaena uroxena,yes,Squamata,Amphisbaenia,Amphisbaenidae,163.0,SVL,Amphisbaenidae,-8.647,4.007,0.22,1.6,no,NA
Amphisbaena mitchelli,yes,Squamata,Amphisbaenia,Amphisbaenidae,165.0,SVL,Amphisbaenidae,-8.647,4.007,0.24,1.7,no,NA
Amphisbaena sanctaeritae,yes,Squamata,Amphisbaenia,Amphisbaenidae,165.0,SVL,Amphisbaenidae,-8.647,4.007,0.24,1.7,no,NA
Amphisbaena carlgansi,yes,Squamata,Amphisbaenia,Amphisbaenidae,168.0,SVL,Amphisbaenidae,-8.647,4.007,0.27,1.9,yes,Amphisbaena carlgansi
Amphisbaena nigricauda,yes,Squamata,Amphisbaenia,Amphisbaenidae,168.0,SVL,Amphisbaenidae,-8.647,4.007,0.27,0.2,no,NA
Cynisca feae,yes,Squamata,Amphisbaenia,Amphisbaenidae,168.0,SVL,Amphisbaenidae,-8.647,4.007,0.27,1.9,no,NA
Amphisbaena gracilis,yes,Squamata,Amphisbaenia,Amphisbaenidae,170.0,SVL,Amphisbaenidae,-8.647,4.007,0.29,2.0,no,NA
Cynisca kigomensis,yes,Squamata,Amphisbaenia,Amphisbaenidae,170.0,SVL,Amphisbaenidae,-8.647,4.007,0.29,2.0,no,NA
Amphisbaena munoai,yes,Squamata,Amphisbaenia,Amphisbaenidae,172.0,SVL,Amphisbaenidae,-8.647,4.007,0.31,2.0,yes,Amphisbaena munoai
Cynisca nigeriensis,yes,Squamata,Amphisbaenia,Amphisbaenidae,173.0,SVL,Amphisbaenidae,-8.647,4.007,0.32,2.1,no,NA
Chirindia mpwapwaensis,yes,Squamata,Amphisbaenia,Amphisbaenidae,175.0,SVL,Amphisbaenidae,-8.647,4.007,0.34,2.2,no,NA
Cynisca muelleri,yes,Squamata,Amphisbaenia,Amphisbaenidae,175.0,SVL,Amphisbaenidae,-8.647,4.007,0.34,2.2,no,NA
Amphisbaena barbouri,yes,Squamata,Amphisbaenia,Amphisbaenidae,177.0,SVL,Amphisbaenidae,-8.647,4.007,0.36,2.3,yes,Amphisbaena barbouri
Agamodon arabicus,yes,Squamata,Amphisbaenia,Trogonophiidae,130.0,SVL,Amphisbaenia,-5.858,2.943,0.36,2.3,no,NA
Amphisbaena anaemariae,yes,Squamata,Amphisbaenia,Amphisbaenidae,179.0,SVL,Amphisbaenidae,-8.647,4.007,0.38,2.4,yes,Amphisbaena anaemariae
Amphisbaena medemi,yes,Squamata,Amphisbaenia,Amphisbaenidae,184.0,SVL,Amphisbaenidae,-8.647,4.007,0.43,2.7,no,NA
Loveridgea ionidesii,yes,Squamata,Amphisbaenia,Amphisbaenidae,184.0,SVL,Amphisbaenidae,-8.647,4.007,0.43,2.7,no,NA
Zygaspis vandami,yes,Squamata,Amphisbaenia,Amphisbaenidae,185.0,SVL,Amphisbaenidae,-8.647,4.007,0.44,2.7,no,NA
Zygaspis violacea,yes,Squamata,Amphisbaenia,Amphisbaenidae,185.0,SVL,Amphisbaenidae,-8.647,4.007,0.44,2.7,no,NA
Amphisbaena ignatiana,yes,Squamata,Amphisbaenia,Amphisbaenidae,188.0,SVL,Amphisbaenidae,-8.647,4.007,0.47,2.9,yes,Amphisbaena ignatiana
Amphisbaena myersi,yes,Squamata,Amphisbaenia,Amphisbaenidae,188.0,SVL,Amphisbaenidae,-8.647,4.007,0.47,2.9,no,NA
Monopeltis kabindae,yes,Squamata,Amphisbaenia,Amphisbaenidae,188.0,SVL,Amphisbaenidae,-8.647,4.007,0.47,2.9,no,NA
Amphisbaena borelli,yes,Squamata,Amphisbaenia,Amphisbaenidae,193.0,SVL,Amphisbaenidae,-8.647,4.007,0.51,3.2,no,NA
Amphisbaena arenaria,yes,Squamata,Amphisbaenia,Amphisbaenidae,195.0,SVL,Amphisbaenidae,-8.647,4.007,0.53,3.4,no,NA
Amphisbaena supernumeraria,yes,Squamata,Amphisbaenia,Amphisbaenidae,195.0,SVL,Amphisbaenidae,-8.647,4.007,0.53,3.4,no,NA
Loveridgea phylofiniens,yes,Squamata,Amphisbaenia,Amphisbaenidae,195.0,SVL,Amphisbaenidae,-8.647,4.007,0.53,3.4,no,NA
Amphisbaena rozei,yes,Squamata,Amphisbaenia,Amphisbaenidae,196.0,SVL,Amphisbaenidae,-8.647,4.007,0.54,3.5,no,NA
Cynisca schaeferi,yes,Squamata,Amphisbaenia,Amphisbaenidae,197.0,SVL,Amphisbaenidae,-8.647,4.007,0.55,3.5,no,NA
Ancylocranium somalicum,yes,Squamata,Amphisbaenia,Amphisbaenidae,202.0,SVL,Amphisbaenidae,-8.647,4.007,0.59,3.9,no,NA
Amphisbaena hiata,yes,Squamata,Amphisbaenia,Amphisbaenidae,204.0,SVL,Amphisbaenidae,-8.647,4.007,0.61,4.1,no,NA
Amphisbaena cubana,yes,Squamata,Amphisbaenia,Amphisbaenidae,206.0,SVL,Amphisbaenidae,-8.647,4.007,0.62,4.2,yes,Amphisbaena cubana
Baikia africana,yes,Squamata,Amphisbaenia,Amphisbaenidae,206.0,SVL,Amphisbaenidae,-8.647,4.007,0.62,4.2,no,NA
Bipes tridactylus,yes,Squamata,Amphisbaenia,Bipedidae,160.0,SVL,Amphisbaenia,-5.858,2.943,0.63,4.3,yes,Bipes tridactylus
Amphisbaena manni,yes,Squamata,Amphisbaenia,Amphisbaenidae,212.0,SVL,Amphisbaenidae,-8.647,4.007,0.67,4.7,yes,Amphisbaena manni
Amphisbaena bahiana,yes,Squamata,Amphisbaenia,Amphisbaenidae,215.0,SVL,Amphisbaenidae,-8.647,4.007,0.70,5.0,no,NA
Amphisbaena cayemite,yes,Squamata,Amphisbaenia,Amphisbaenidae,220.0,SVL,Amphisbaenidae,-8.647,4.007,0.74,5.5,no,NA
Zygaspis kafuensis,yes,Squamata,Amphisbaenia,Amphisbaenidae,220.0,SVL,Amphisbaenidae,-8.647,4.007,0.74,5.5,no,NA
Zygaspis dolichomenta,yes,Squamata,Amphisbaenia,Amphisbaenidae,226.0,SVL,Amphisbaenidae,-8.647,4.007,0.79,6.1,no,NA
Amphisbaena polygrammica,yes,Squamata,Amphisbaenia,Amphisbaenidae,227.0,SVL,Amphisbaenidae,-8.647,4.007,0.79,6.2,no,NA
Amphisbaena cegei,yes,Squamata,Amphisbaenia,Amphisbaenidae,229.0,SVL,Amphisbaenidae,-8.647,4.007,0.81,6.4,no,NA
Diplometopon zarudnyi,yes,Squamata,Amphisbaenia,Trogonophiidae,185.0,SVL,Amphisbaenia,-5.858,2.943,0.81,6.5,yes,Diplometopon zarudnyi
Amphisbaena prunicolor,yes,Squamata,Amphisbaenia,Amphisbaenidae,238.0,SVL,Amphisbaenidae,-8.647,4.007,0.88,7.5,no,NA
Amphisbaena schmidti,yes,Squamata,Amphisbaenia,Amphisbaenidae,240.0,SVL,Amphisbaenidae,-8.647,4.007,0.89,7.8,yes,Amphisbaena schmidti
Geocalamus modestus,yes,Squamata,Amphisbaenia,Amphisbaenidae,240.0,SVL,Amphisbaenidae,-8.647,4.007,0.89,7.8,no,NA
Pachycalamus brevis,yes,Squamata,Amphisbaenia,Trogonophiidae,198.0,SVL,Amphisbaenia,-5.858,2.943,0.90,8.0,no,NA
Amphisbaena absaberi,yes,Squamata,Amphisbaenia,Amphisbaenidae,242.0,SVL,Amphisbaenidae,-8.647,4.007,0.90,8.0,no,NA
Amphisbaena fenestrata,yes,Squamata,Amphisbaenia,Amphisbaenidae,242.0,SVL,Amphisbaenidae,-8.647,4.007,0.90,8.0,yes,Amphisbaena fenestrata
Amphisbaena kingii,yes,Squamata,Amphisbaenia,Amphisbaenidae,242.0,SVL,Amphisbaenidae,-8.647,4.007,0.90,8.0,yes,Anops kingii
Amphisbaena steindachneri,yes,Squamata,Amphisbaenia,Amphisbaenidae,243.0,SVL,Amphisbaenidae,-8.647,4.007,0.91,8.2,no,NA
Agamodon anguliceps,yes,Squamata,Amphisbaenia,Trogonophiidae,200.0,SVL,Amphisbaenia,-5.858,2.943,0.91,8.2,no,NA
Blanus alexandri,yes,Squamata,Amphisbaenia,Blanidae,200.0,SVL,Amphisbaenia,-5.858,2.943,0.91,8.2,no,NA
Amphisbaena ibijara,yes,Squamata,Amphisbaenia,Amphisbaenidae,244.1,SVL,Amphisbaenidae,-8.647,4.007,0.92,8.3,no,NA
Amphisbaena xera,yes,Squamata,Amphisbaenia,Amphisbaenidae,245.0,SVL,Amphisbaenidae,-8.647,4.007,0.93,8.4,yes,Amphisbaena xera
Ancylocranium barkeri,yes,Squamata,Amphisbaenia,Amphisbaenidae,245.0,SVL,Amphisbaenidae,-8.647,4.007,0.93,8.4,no,NA
Zygaspis quadrifrons,yes,Squamata,Amphisbaenia,Amphisbaenidae,245.0,SVL,Amphisbaenidae,-8.647,4.007,0.93,8.4,no,NA
Zygaspis ferox,yes,Squamata,Amphisbaenia,Amphisbaenidae,247.0,SVL,Amphisbaenidae,-8.647,4.007,0.94,8.7,no,NA
Geocalamus acutus,yes,Squamata,Amphisbaenia,Amphisbaenidae,248.0,SVL,Amphisbaenidae,-8.647,4.007,0.95,8.9,yes,Geocalamus acutus
Amphisbaena townsendi,yes,Squamata,Amphisbaenia,Amphisbaenidae,252.0,SVL,Amphisbaenidae,-8.647,4.007,0.98,9.4,no,NA
Mesobaena huebneri,yes,Squamata,Amphisbaenia,Amphisbaenidae,252.0,SVL,Amphisbaenidae,-8.647,4.007,0.98,9.4,no,NA
Blanus mettetali,yes,Squamata,Amphisbaenia,Blanidae,210.0,SVL,Amphisbaenia,-5.858,2.943,0.98,9.5,yes,Blanus mettetali
Amphisbaena ridleyi,yes,Squamata,Amphisbaenia,Amphisbaenidae,253.0,SVL,Amphisbaenidae,-8.647,4.007,0.98,9.6,no,NA
Mesobaena rhachicephala,yes,Squamata,Amphisbaenia,Amphisbaenidae,253.0,SVL,Amphisbaenidae,-8.647,4.007,0.98,9.6,no,NA
Blanus strauchi,yes,Squamata,Amphisbaenia,Blanidae,212.0,SVL,Amphisbaenia,-5.858,2.943,0.99,9.7,yes,Blanus strauchi
Amphisbaena leali,yes,Squamata,Amphisbaenia,Amphisbaenidae,254.0,SVL,Amphisbaenidae,-8.647,4.007,0.99,9.8,yes,Amphisbaena leali
Cynisca leucura,yes,Squamata,Amphisbaenia,Amphisbaenidae,258.0,SVL,Amphisbaenidae,-8.647,4.007,1.02,10.4,yes,Cynisca leucura
Amphisbaena bakeri,yes,Squamata,Amphisbaenia,Amphisbaenidae,260.0,SVL,Amphisbaenidae,-8.647,4.007,1.03,10.7,yes,Amphisbaena bakeri
Dalophia luluae,yes,Squamata,Amphisbaenia,Amphisbaenidae,260.0,SVL,Amphisbaenidae,-8.647,4.007,1.03,10.7,no,NA
Amphisbaena occidentalis,yes,Squamata,Amphisbaenia,Amphisbaenidae,262.0,SVL,Amphisbaenidae,-8.647,4.007,1.04,11.0,no,NA
Amphisbaena stejnegeri,yes,Squamata,Amphisbaenia,Amphisbaenidae,265.0,SVL,Amphisbaenidae,-8.647,4.007,1.06,11.6,no,NA
Amphisbaena innocens,yes,Squamata,Amphisbaenia,Amphisbaenidae,268.0,SVL,Amphisbaenidae,-8.647,4.007,1.08,12.1,yes,Amphisbaena innocens
Amphisbaena roberti,yes,Squamata,Amphisbaenia,Amphisbaenidae,268.0,SVL,Amphisbaenidae,-8.647,4.007,1.08,12.1,yes,Cercolophia roberti
Amphisbaena carli,yes,Squamata,Amphisbaenia,Amphisbaenidae,269.0,SVL,Amphisbaenidae,-8.647,4.007,1.09,12.3,no,NA
Amphisbaena caudalis,yes,Squamata,Amphisbaenia,Amphisbaenidae,269.0,SVL,Amphisbaenidae,-8.647,4.007,1.09,12.3,no,NA
Amphisbaena anomala,yes,Squamata,Amphisbaenia,Amphisbaenidae,273.0,SVL,Amphisbaenidae,-8.647,4.007,1.11,13.0,yes,Aulura anomala
Blanus tingitanus,yes,Squamata,Amphisbaenia,Blanidae,235.0,SVL,Amphisbaenia,-5.858,2.943,1.12,13.2,yes,Blanus tingitanus
Monopeltis zambezensis,yes,Squamata,Amphisbaenia,Amphisbaenidae,275.0,SVL,Amphisbaenidae,-8.647,4.007,1.13,13.4,no,NA
Amphisbaena dubia,yes,Squamata,Amphisbaenia,Amphisbaenidae,276.0,SVL,Amphisbaenidae,-8.647,4.007,1.13,13.6,no,NA
Amphisbaena littoralis,yes,Squamata,Amphisbaenia,Amphisbaenidae,278.0,SVL,Amphisbaenidae,-8.647,4.007,1.15,14.0,no,NA
Bipes biporus,yes,Squamata,Amphisbaenia,Bipedidae,240.0,SVL,Amphisbaenia,-5.858,2.943,1.15,14.0,yes,Bipes biporus
Bipes canaliculatus,yes,Squamata,Amphisbaenia,Bipedidae,240.0,SVL,Amphisbaenia,-5.858,2.943,1.15,14.0,yes,Bipes canaliculatus
Trogonophis wiegmanni,yes,Squamata,Amphisbaenia,Trogonophiidae,240.0,SVL,Amphisbaenia,-5.858,2.943,1.15,14.0,yes,Trogonophis wiegmanni
Amphisbaena heterozonata,yes,Squamata,Amphisbaenia,Amphisbaenidae,280.0,SVL,Amphisbaenidae,-8.647,4.007,1.16,14.4,no,NA
Zygaspis nigra,yes,Squamata,Amphisbaenia,Amphisbaenidae,280.0,SVL,Amphisbaenidae,-8.647,4.007,1.16,14.4,no,NA
Amphisbaena plumbea,yes,Squamata,Amphisbaenia,Amphisbaenidae,283.0,SVL,Amphisbaenidae,-8.647,4.007,1.18,15.0,no,NA
Amphisbaena frontalis,yes,Squamata,Amphisbaenia,Amphisbaenidae,284.0,SVL,Amphisbaenidae,-8.647,4.007,1.18,15.3,no,NA
Amphisbaena arda,yes,Squamata,Amphisbaenia,Amphisbaenidae,285.0,SVL,Amphisbaenidae,-8.647,4.007,1.19,15.5,no,NA
Blanus aporus,yes,Squamata,Amphisbaenia,Blanidae,252.0,SVL,Amphisbaenia,-5.858,2.943,1.21,16.2,no,NA
Blanus mariae,yes,Squamata,Amphisbaenia,Blanidae,253.0,SVL,Amphisbaenia,-5.858,2.943,1.21,16.4,no,NA
Blanus cinereus,yes,Squamata,Amphisbaenia,Blanidae,254.0,SVL,Amphisbaenia,-5.858,2.943,1.22,16.6,yes,Blanus cinereus
Amphisbaena bedai,yes,Squamata,Amphisbaenia,Amphisbaenidae,290.0,SVL,Amphisbaenidae,-8.647,4.007,1.22,16.6,no,NA
Cynisca chirioi,yes,Squamata,Amphisbaenia,Amphisbaenidae,290.0,SVL,Amphisbaenidae,-8.647,4.007,1.22,16.6,no,NA
Monopeltis decosteri,yes,Squamata,Amphisbaenia,Amphisbaenidae,290.0,SVL,Amphisbaenidae,-8.647,4.007,1.22,16.6,no,NA
Monopeltis leonhardi,yes,Squamata,Amphisbaenia,Amphisbaenidae,290.0,SVL,Amphisbaenidae,-8.647,4.007,1.22,16.6,no,NA
Monopeltis rhodesiana,yes,Squamata,Amphisbaenia,Amphisbaenidae,290.0,SVL,Amphisbaenidae,-8.647,4.007,1.22,16.6,no,NA
Monopeltis scalper,yes,Squamata,Amphisbaenia,Amphisbaenidae,290.0,SVL,Amphisbaenidae,-8.647,4.007,1.22,16.6,no,NA
Amphisbaena caeca,yes,Squamata,Amphisbaenia,Amphisbaenidae,291.0,SVL,Amphisbaenidae,-8.647,4.007,1.23,16.8,yes,Amphisbaena caeca
Monopeltis welwitschii,yes,Squamata,Amphisbaenia,Amphisbaenidae,293.0,SVL,Amphisbaenidae,-8.647,4.007,1.24,17.3,no,NA
Monopeltis perplexus,yes,Squamata,Amphisbaenia,Amphisbaenidae,300.0,SVL,Amphisbaenidae,-8.647,4.007,1.28,19.0,no,NA
Amphisbaena kraoh,yes,Squamata,Amphisbaenia,Amphisbaenidae,305.0,SVL,Amphisbaenidae,-8.647,4.007,1.31,20.3,yes,Bronia kraoh
Amphisbaena bilabialatus,yes,Squamata,Amphisbaenia,Amphisbaenidae,307.0,SVL,Amphisbaenidae,-8.647,4.007,1.32,20.8,no,NA
Amphisbaena gonavensis,yes,Squamata,Amphisbaenia,Amphisbaenidae,310.0,SVL,Amphisbaenidae,-8.647,4.007,1.34,21.7,no,NA
Amphisbaena hyporissor,yes,Squamata,Amphisbaenia,Amphisbaenidae,310.0,SVL,Amphisbaenidae,-8.647,4.007,1.34,21.7,yes,Amphisbaena hyporissor
Amphisbaena cuiabana,yes,Squamata,Amphisbaenia,Amphisbaenidae,316.0,SVL,Amphisbaenidae,-8.647,4.007,1.37,23.4,yes,Cercolophia cuiabana
Amphisbaena brasiliana,yes,Squamata,Amphisbaenia,Amphisbaenidae,317.0,SVL,Amphisbaenidae,-8.647,4.007,1.37,23.7,yes,Bronia brasiliana
Amphisbaena spurelli,yes,Squamata,Amphisbaenia,Amphisbaenidae,320.0,SVL,Amphisbaenidae,-8.647,4.007,1.39,24.6,no,NA
Amphisbaena vermicularis,yes,Squamata,Amphisbaenia,Amphisbaenidae,325.0,SVL,Amphisbaenidae,-8.647,4.007,1.42,26.2,yes,Amphisbaena vermicularis
Ancylocranium ionidesi,yes,Squamata,Amphisbaenia,Amphisbaenidae,328.0,SVL,Amphisbaenidae,-8.647,4.007,1.43,27.2,no,NA
Amphisbaena octostegum,yes,Squamata,Amphisbaenia,Amphisbaenidae,336.0,SVL,Amphisbaenidae,-8.647,4.007,1.48,29.9,no,NA
Monopeltis capensis,yes,Squamata,Amphisbaenia,Amphisbaenidae,340.0,SVL,Amphisbaenidae,-8.647,4.007,1.50,31.4,yes,Monopeltis capensis
Monopeltis infuscata,yes,Squamata,Amphisbaenia,Amphisbaenidae,340.0,SVL,Amphisbaenidae,-8.647,4.007,1.50,31.4,no,NA
Amphisbaena amazonica,yes,Squamata,Amphisbaenia,Amphisbaenidae,342.0,SVL,Amphisbaenidae,-8.647,4.007,1.51,32.1,no,NA
Amphisbaena angustifrons,yes,Squamata,Amphisbaenia,Amphisbaenidae,345.0,SVL,Amphisbaenidae,-8.647,4.007,1.52,33.3,yes,Amphisbaena angustifrons
Monopeltis anchietae,yes,Squamata,Amphisbaenia,Amphisbaenidae,345.0,SVL,Amphisbaenidae,-8.647,4.007,1.52,33.3,no,NA
Amphisbaena leucocephala,yes,Squamata,Amphisbaenia,Amphisbaenidae,350.0,SVL,Amphisbaenidae,-8.647,4.007,1.55,35.2,no,NA
Amphisbaena trachura,yes,Squamata,Amphisbaenia,Amphisbaenidae,350.0,SVL,Amphisbaenidae,-8.647,4.007,1.55,35.2,no,NA
Amphisbaena kisteumacheri,yes,Squamata,Amphisbaenia,Amphisbaenidae,356.0,SVL,Amphisbaenidae,-8.647,4.007,1.58,37.7,no,NA
Monopeltis guentheri,yes,Squamata,Amphisbaenia,Amphisbaenidae,356.0,SVL,Amphisbaenidae,-8.647,4.007,1.58,37.7,no,NA
Amphisbaena darwini,yes,Squamata,Amphisbaenia,Amphisbaenidae,360.0,SVL,Amphisbaenidae,-8.647,4.007,1.60,39.5,yes,Amphisbaena darwini
Amphisbaena varia,yes,Squamata,Amphisbaenia,Amphisbaenidae,402.0,SVL,Amphisbaenidae,-8.647,4.007,1.60,39.5,no,NA
Dalophia angolensis,yes,Squamata,Amphisbaenia,Amphisbaenidae,362.0,SVL,Amphisbaenidae,-8.647,4.007,1.61,40.3,no,NA
Monopeltis sphenorhynchus,yes,Squamata,Amphisbaenia,Amphisbaenidae,365.0,SVL,Amphisbaenidae,-8.647,4.007,1.62,41.7,no,NA
Monopeltis vanderysti,yes,Squamata,Amphisbaenia,Amphisbaenidae,365.0,SVL,Amphisbaenidae,-8.647,4.007,1.62,41.7,no,NA
Amphisbaena saxosa,yes,Squamata,Amphisbaenia,Amphisbaenidae,375.0,SVL,Amphisbaenidae,-8.647,4.007,1.67,46.5,yes,Bronia saxosa
Amphisbaena cerradensis,yes,Squamata,Amphisbaenia,Amphisbaenidae,385.0,SVL,Amphisbaenidae,-8.647,4.007,1.71,51.6,no,NA
Amphisbaena wiedi,yes,Squamata,Amphisbaenia,Amphisbaenidae,385.0,SVL,Amphisbaenidae,-8.647,4.007,1.71,51.6,no,NA
Monopeltis luandae,yes,Squamata,Amphisbaenia,Amphisbaenidae,385.0,SVL,Amphisbaenidae,-8.647,4.007,1.71,51.6,no,NA
Rhineura floridana,yes,Squamata,Amphisbaenia,Rhineuridae,380.0,SVL,Amphisbaenia,-5.858,2.943,1.73,54.2,yes,Rhineura floridana
Amphisbaena mertensii,yes,Squamata,Amphisbaenia,Amphisbaenidae,410.0,SVL,Amphisbaenidae,-8.647,4.007,1.82,66.4,yes,Amphisbaena mertensii
Dalophia ellenbergeri,yes,Squamata,Amphisbaenia,Amphisbaenidae,420.0,SVL,Amphisbaenidae,-8.647,4.007,1.86,73.2,no,NA
Amphisbaena wuchereri,yes,Squamata,Amphisbaenia,Amphisbaenidae,426.6,SVL,Amphisbaenidae,-8.647,4.007,1.89,77.9,no,NA
Amphisbaena maximus,yes,Squamata,Amphisbaenia,Amphisbaenidae,440.0,SVL,Amphisbaenidae,-8.647,4.007,1.95,88.2,no,NA
Amphisbaena bassleri,yes,Squamata,Amphisbaenia,Amphisbaenidae,450.0,SVL,Amphisbaenidae,-8.647,4.007,1.98,96.5,no,NA
Amphisbaena pretrei,yes,Squamata,Amphisbaenia,Amphisbaenidae,462.0,SVL,Amphisbaenidae,-8.647,4.007,2.03,107.2,no,NA
Monopeltis galeata,yes,Squamata,Amphisbaenia,Amphisbaenidae,466.0,SVL,Amphisbaenidae,-8.647,4.007,2.05,111.0,no,NA
